,cuid,convert_30,revenue_30,roll_up,currentstatus,companytypegroup,team,customersource,accrole,num_employees,num_purchases_year,cost_purchases_year,enrollmentmethod,numorderone,numorderthreeone,numorderseventhree,numorderthirtyseven,numordersixtythirty,numorderyearsixty,sumrevone,sumrevthreeone,sumrevseventhree,sumrevthirtyseven,sumrevsixtythirty,sumrevyearsixty,numbamorder,numselforder,totalrev,aov,dayssincelastord,cuidshare,numstores,pospercentage,numinf,numinfconnect,numinfphone,numinfquote,percentlarge,percdirtythirty,percdirtyninetythirty,percdirtyyearninety,numbilling,numreturn,numwims,numproblem,numother,percentresolved,minnps,avgnps,maxnps,nps_count,numquote,numorderfromquote,quoteconrate,avgquoteprice,avgconquoteprice,numvisitone,numvisitthreeone,numvisitseventhree,numvisitthirtyseven,numvisitsixtythirty,numvisityearsixty,numvisittotal,numloggedinone,numloggedinthreeone,numloggedinseventhree,numloggedinthirtyseven,numloggedinsixtythirty,numloggedinyearsixty,numsecondsonsiteone,numsecondsonsitethreeone,numsecondsonsiteseventhree,numsecondsonsitethirtyseven,numsecondsonsitesixtythirty,numsecondsonsiteyearsixty,numtotalpageviewsone,numtotalpageviewsthreeone,numtotalpageviewsseventhree,numtotalpageviewsthirtyseven,numtotalpageviewssixtythirty,numtotalpageviewsyearsixty,numatcone,numatcthreeone,numatcseventhree,numatcthirtyseven,numatcsixtythirty,numatcyearsixty,numideaboardone,numideaboardthreeone,numideaboardseventhree,numideaboardthirtyseven,numideaboardsixtythirty,numideaboardyearsixty,dayssincelastvisit,sumatcprice,avgatcprice,numsearchtermsone,numsearchtermsthreeone,numsearchtermsseventhree,numsearchtermsthirtyseven,numsearchtermssixtythirty,numsearchtermsyearsixty,numskusviewedone,numskusviewedthreeone,numskusviewedseventhree,numskusviewedthirtyseven,numskusviewedsixtythirty,numskusviewedyearsixty,avgpriceone,avgpricethreeone,avgpriceseventhree,avgpricethirtyseven,avgpricesixtythirty,avgpriceyearsixty,avgprice,numtasksfirstintroone,numtasksfirstintrothreeone,numtasksfirstintroseventhree,numtasksfirstintrothirtyseven,numtasksfirstintrosixtythirty,numtasksfirstintroyearsixty,numtaskscadenceone,numtaskscadencethreeone,numtaskscadenceseventhree,numtaskscadencethirtyseven,numtaskscadencesixtythirty,numtaskscadenceyearsixty,numtasksreassignone,numtasksreassignthreeone,numtasksreassignseventhree,numtasksreassignthirtyseven,numtasksreassignsixtythirty,numtasksreassignyearsixty,numtaskscustactone,numtaskscustactthreeone,numtaskscustactseventhree,numtaskscustactthirtyseven,numtaskscustactsixtythirty,numtaskscustactyearsixty,numtasksotherone,numtasksotherthreeone,numtasksotherseventhree,numtasksotherthirtyseven,numtasksothersixtythirty,numtasksotheryearsixty,numcallsone,numcallsthreeone,numcallsseventhree,numcallsthirtyseven,numcallssixtythirty,numcallsyearsixty,numemailsone,numemailsthreeone,numemailsseventhree,numemailsthirtyseven,numemailssixtythirty,numemailsyearsixty,totalcalldurationone,totalcalldurationthreeone,totalcalldurationseventhree,totalcalldurationthirtyseven,totalcalldurationsixtythirty,totalcalldurationyearsixty,decmakerflagone,decmakerflagsevenone,decmakerflagfourteenseven,decmakerflagthirtyfourteen,percsecondsinbound,percemailopenedone,percemailopenedthreeone,percemailopenedseventhree,percemailopenedthirtyseven,percemailopenedsixtythirty,percemailopenedyearsixty,percemailclickedone,percemailclickedthreeone,percemailclickedseventhree,percemailclickedthirtyseven,percemailclickedsixtythirty,percemailclickedyearsixty,currentapplicability,numemaillist,dayssinceenrollment
1,20,0,0,Onboarding,Active,Business,US,External Application,None,50plus,1to2,lessthan1,directEIN,0,0,0,1,0,0,0,0,0,59.99,0,0,0,1,59.99,59.99,17,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,14,0,5,19,0,0,0,8,0,0,0,0,0,17256,0,3333,0,0,0,130,0,39,0,0,0,1,0,0,0,0,0,2,0,0,17,59.99,59.99,0,0,0,0,0,2,0,0,0,22,0,14,,,,80.99727273,,335.3864286,179.9263889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,43,0,0,0,0,0,0,0,1,1,0.8,0.80952381,0,0,0,0,0,0.19047619,0,0,3,1,17
2,57,0,0,Onboarding,Active,Business,US,Internal Application,None,2to5,25plus,25to100,directEIN,0,0,0,0,0,1,0,0,0,0,0,126.48,0,1,126.48,126.48,62,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,1,1,1,0,19,22,0,1,0,1,0,6,0,0,8,252,0,28316,0,1,3,13,0,400,0,0,0,0,0,4,0,0,0,1,0,1,2,,,0,0,0,0,0,19,0,1,0,6,0,75,,91.99,,235.9966667,,537.1313333,509.6685366,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,55,0,0,78,0,0,0,0,0,0,0,0,0.08,0,0.02,0,0,0,0.04,0,0.02,3,1,70
3,163,0,0,Onboarding,Active,Business,US,Internal Application,None,1,3to5,1to5,directEIN,0,0,0,1,0,0,0,0,0,237.98,0,0,0,1,237.98,237.98,27,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,1,0,18,19,0,0,0,1,0,4,0,0,0,513,0,12162,0,0,0,14,0,185,0,0,0,1,0,3,0,0,0,0,0,0,27,144.99,144.99,0,0,0,0,0,1,0,0,0,1,0,37,,,,144.99,,709.0918919,694.2471053,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0.25,0,0.113636364,0.086206897,0.10619469,0,0,0,0,0,0.001769912,13,1,27
4,167,0,0,Onboarding,Enrolled,Business,US,Internal Customer Scrape,None,50plus,3to5,lessthan1,directEIN,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,1,0,14,18,0,0,2,1,0,8,0,0,810,1267,0,9832,0,0,23,29,0,95,0,0,0,0,0,4,0,0,0,0,0,0,6,,,0,0,0,0,0,3,0,0,4,6,0,18,,,98.24,52.82833333,,206.575,158.1528571,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,67,0,41,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0.1,,,25
5,168,0,0,Onboarding,Enrolled,Business,US,Gateway,None,6to10,11to25,5to25,directEIN,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,2,16,20,0,0,0,2,1,1,0,0,0,355,1419,13053,0,0,0,9,14,177,0,0,0,0,1,1,0,0,0,0,0,0,29,,,0,0,0,0,1,9,0,0,0,1,2,18,,,,64.99,58.02,98.64777778,93.17571429,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,50,0,35,0,0,0,0,0,0,0,0.05,0.047619048,0.058823529,0.072072072,0,0,0,0.00952381,0.016806723,0.003465003,8.333333333,3,33
9,215,0,0,Onboarding,Enrolled,Business,US,Internal Application,None,None,None,None,directEIN,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,0,2,29,34,0,2,0,0,0,0,0,758,0,0,15,21847,0,19,0,0,3,223,0,0,0,0,0,3,0,0,0,0,0,0,2,,,0,5,0,0,0,5,0,1,0,0,0,55,,182.99,,,,398.4994545,394.6510714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0.166666667,0.206896552,0.349112426,0,0.5,0,0,0.034482759,0.059171598,1,1,2
12,285,0,0,Onboarding,Enrolled,Business,US,Internal Customer Scrape,None,None,None,None,email,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,13,2,14,29,0,0,0,3,0,6,0,0,0,28427,287,29198,0,0,0,193,6,134,0,0,0,3,0,2,0,0,0,0,0,0,9,6426,2142,0,0,0,7,0,5,0,0,0,37,1,63,,,,580.7051351,220.99,550.2328571,558.1361386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,172,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.333333333,0,0.111111111,0,1,99
14,363,1,323.97,Onboarding,Active,Business,US,External Application,None,1,25plus,5to25,directEIN,0,0,0,0,2,0,0,0,0,0,3631.55,0,0,2,3631.55,1815.775,38,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,0,0,0,3,15,300,318,0,0,0,1,13,145,0,0,0,161,56370,650279,0,0,0,8,1096,5121,0,0,0,0,6,74,0,0,0,0,0,10,21,,,0,0,0,0,35,195,0,0,0,2,203,1196,,,,440.5,116.83133,361.2374498,325.9370093,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,,0,0,0,0.223529412,0.335106383,0.22243346,0,0,0,0.023529412,0.015957447,0.071292776,8.333333333,3,42
15,401,0,0,Onboarding,Active,Business,US,Internal Application,None,None,None,None,other,0,1,0,1,0,0,0,299.99,0,549.56,0,0,0,2,849.55,424.775,3,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,3,4,8,6,7,28,0,2,4,8,3,1,0,272,762,4559,11258,5162,0,12,30,122,120,90,0,1,1,1,1,1,0,0,0,0,0,1,2,410.77,102.6925,0,0,0,1,0,2,0,1,5,28,34,26,,74.01,136.354,846.5742857,286.5955882,317.3611538,451.6542553,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,,0,0.666666667,0.25,0.2,0.157894737,0.12345679,0,0.166666667,0.125,0.072727273,0.052631579,0.012345679,4,2,35
17,421,0,0,Onboarding,Enrolled,Business,CA,Internal Application,Primary,None,None,None,email,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,8,18,7,8,46,2,0,6,6,0,0,2379,409,18530,24653,4765,7060,68,13,228,213,111,101,0,0,3,0,0,1,0,0,0,0,0,0,1,1754.79,146.2325,2,0,4,3,1,3,19,3,42,57,29,25,982.9184211,317.6766667,384.4490476,408.5387719,503.1875862,109.6296,436.5441714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0.25,0,0,0,0,0,7,1,0
